Property Name,Property Cost,Property Type,Property Area,Property Locality
Ratnam Aurum,₹ 71 L,3 BHKApartment,(171.41 sq.m.),Sardar Patel Ring RoadH3 World SchoolKhodiyar Railway StationSatyamev HospitalNirma University
Satvik Sthapana 84,₹ 45.5 - 46.55 L,2 BHKApartment,(108.7 - 111.2 sq.m.),Lifeline Multispeciality HospitalApollo International SchoolChandlodiya StationRanip Metro StationSarkhej - Gandhinagar Hwy
Forreste,Price on Request,1 RKStudio Apartment,(40.11 - 51.86 sq.m.),Alpha Collage of EngineeringMother Teresa World SchoolVadsar Air Force StationKalupur Railway StationSardar Vallabhbhai Patel Airport
Suryansh Serenity,₹ 36.25 - 38.75 L,2 BHKApartment,(121.24 - 129.6 sq.m.),VIP International SchoolSankalp Industrial ParkNarodagam MarketShalby hospitalCity Center
Unique Luxuria,₹ 1.3 Cr,3 BHKApartment,(234.12 sq.m.),Shayona International SchoolHetvi HospitalSilver Oak UniversityAgarwal MallChandlodiya Railway Station
Suryansh Sanidhya Shivalaya,₹ 33.98 L,2 BHKApartment,(100.34 sq.m.),NH 147Sarkhej Railway StationSarvajanik High SchoolGazala ArcadeAPMC Metro Station
Kopren Park View,₹ 50.75 L,2 BHKApartment,(121.24 sq.m.),"Alpha International SchoolOgnaj - Gota RdJay Yogeshwar HospitalManit Super MallNH147, Gujarat"
Blue Bell,₹ 65 L,2 BHKApartment,(131.27 sq.m.),Nest Public SchoolMarengo CIMS HospitalIndus UniversityGoraghumaAhmedabad International Airport T2
Aashray Aurum,₹ 90.5 L,3 BHKApartment,(84.73 sq.m.),Taj SkylineAnand Niketan SchoolShilaj CircleAmbli T JunctionDelhi Public School
Origin Park,₹ 96.57 L - 1.17 Cr,3 BHKApartment,(218.23 - 263.38 sq.m.),N/A
United Elenza,₹ 63 - 68 L,3 BHKApartment,(154.68 - 167.23 sq.m.),Narendra Modi StadiumApollo hospitalPVR Acropolis AhemdabadSABARMATI RAILWAY STATIONHB Kapadia New High
Satyam Skyline 2,₹ 1.38 Cr,3 BHKApartment,(177.63 sq.m.),Divyapath Science SchoolSt.Kabir SchoolTerf English Medium SchoolAhmedabad UniversityHimalaya Mall
The Crest,₹ 58 L,3 BHKApartment,(121.24 - 146.32 sq.m.),Ashapura Super MarketRangoli PreschoolBhoomi Cricket Coaching AcademyNirbhay HospitalH B Kapadia School
Rajyash Regius,₹ 1.55 - 2.02 Cr,4 BHKApartment,(274.99 - 357.21 sq.m.),Rajpath ClubZydus HospitalSG HighwayVMCA ClubKarnavati Club
Shubham Pleasure,₹ 28 - 30.2 L,2 BHKApartment,(117.06 - 126.26 sq.m.),Mewad Palace HotelModel School SanandKalhaar Blues & Greens Golf ClubSanand Super MallSanand - Nalsarovar Road
Satya Sankalp Sky,₹ 85 L,3 BHKApartment,(171.41 sq.m.),Shree Shiv Shakti Restaurant1944 The Hocco KitchenKatori KitchenHotel Sparsh InnKalupur Bank ATM
Merlin Rise,₹ 39 - 47.25 L,2 BHKApartment,(57.14 - 59.37 sq.m.),SRCM RdAliah UniversityDowntown MallSiksha Tirtha Metro stationTata Medical Centre
DTC Capital City,₹ 26 L,1 BHKApartment,(58.53 sq.m.),Rajarhat ApexDPS MegacityCity Center 2Eco Space Business ParkEco Park
Ganguly 4Sight Eminence,₹ 1.22 - 1.35 Cr,3 BHKApartment,(127.83 - 140.84 sq.m.),Lake View High SchoolPrafulla Chandra CollegeAmri HospitalBallygunge JunctionGariahat Shopping Complex
Ganguly 4Sight Desire,₹ 27.29 L,1 BHKApartment,(49.7 sq.m.),N/A
Merlin Serenia,₹ 64.12 L,2 BHKApartment,(68.01 sq.m.),Springfield International SchoolInstitute Of Technical Education CollegeBonhoogly HospitalForum Rangoli MallNSCBI Airport
DTC Sojon,₹ 45 - 49.09 L,2 BHKApartment,(81.75 - 89.19 sq.m.),Diamon Harbour Road (NH 12)Vivekananda Mission SchoolBharat Sevashram Sangha HospitalIndian Institute Of Management–CalcuttaAristro Club Hotels and Resorts
Ascon Era,₹ 59.35 - 70.4 L,2 BHKApartment,(84.82 - 100.61 sq.m.),City Center 24 Lane ExpresswayDerozio CollegeDPS NewtonCharnock Hospital
Chitrakut Heights Phase 2,₹ 54.36 - 54.59 L,2 BHKApartment,(86.4 - 86.77 sq.m.),Sunshine Public SchoolOhio HospitalDown Town MallBiswa Bangla SaraniPresidency University Newtown Campus
Merlin Lakescape,₹ 37 L,1 BHKApartment,(45.52 sq.m.),Patharghata K.G. SchoolUniversity of Engineering & ManagementDown Town MallOhio HospitalSiksha Tirtha Metro station
GPS Meena Aurum Phase 2,₹ 30.19 - 36.15 L,2 BHKApartment,(75.81 - 90.77 sq.m.),VIP RoadTata Cancer CentreDPS New TownMetro StationVIP Big Bazar
Loharuka Green Heights Phase 2,₹ 49 - 57.25 L,2 BHKApartment,(53.51 - 62.52 sq.m.),Rajarhat Main RdDuke World AcademyLotus HospitalSiksha Tirtha Metro stationJadavpur University Campus
Symphony Proxima,₹ 41.6 - 41.83 L,2 BHKApartment,(82.22 - 82.68 sq.m.),B.D.M. International SchoolIris Multispeciality HospitalJadavpur UniversityBaghajatin Railway StationNetaji Subhash Chandra Bose
Amantran,₹ 1.11 - 1.12 Cr,4 BHKVilla,(146.85 - 148.32 sq.m.),"Bharat Sevashram Sangha HospitalReliance Smart PointNh12, Diamond Park, JokaVivekananda Mission SchoolIndian Institute of Management"
Merlin Avana,₹ 57 - 64.19 L,2 BHKApartment,(58.25 - 63.92 sq.m.),Abasar BriddhabasTollygunge Golf ClubTollygunge Metro StationCalcutta Institute of EngineeringRSV Hospital
Tattvam,₹ 93.42 - 97.02 L,2 BHKApartment,(96.43 - 100.15 sq.m.),Girish Park Metro StationNSCB International AirportMumbai Kolkata Highway NH6East Calcutta National SchoolVictoria Institution (College)
Urban Vista Phase 1,₹ 47 - 66.81 L,2 BHKApartment,(74.32 - 100.99 sq.m.),Rajarhat Main RdShree Maa KG SchoolCity Centre Mall RajarhatAliah UniversitySiksha Tirtha Metro station
Merlin Skygaze,₹ 45.26 - 48 L,2 BHKApartment,(62.9 - 63.92 sq.m.),"Manikpur Free Primary School55, SH 1Sskn HospitalSubhasgram Railway StationWood Square Mall"
Urbana,₹ 2.9 - 4.95 Cr,3 BHKApartment,(170.29 - 290.51 sq.m.),Anandapur Mini Bus StandAnandapur Play GroundBank of MaharashtraICICI BankAnandapur Park
Chitrakatha,₹ 67.33 - 81.72 L,2 BHKApartment,(64.75 - 78.6 sq.m.),Netaji Metro StationLions North Calcutta HospitalKidzee SchoolSpencers RetailNetaji Nagar Day College
Vaanya,₹ 2.66 - 3.3 Cr,4 BHKApartment,(182.93 - 219.99 sq.m.),Bellevue Hospital (Upcoming)Delhi Public School MegacityTata Cancer HospitalEco Tourism ParkThe New Town School
Ever Blink Oxford,₹ 18.39 L,1 BHKApartment,(51.0 sq.m.),N/A
Etha Su Casa Valley,₹ 27.97 - 30.61 L,2 BHKApartment,(78.87 - 86.31 sq.m.),"Eastern Metropolitan BypassState Highway 1RKM Stadium, NarendrapurNarendrapur Proposed MetroLions Calcutta (Greater) Vidya Mandir"
Merlin Oikyo,₹ 22.88 - 26 L,2 BHKApartment,(46.64 - 53.51 sq.m.),Baruipur JunctionBaruipur Super Specialty HospitalSabita Shopping ComplexBaruipur SDO OfficeBaruipur Flyover
Prasad Rare Earth,₹ 1.5 Cr,3 BHKApartment,(108.88 - 124.49 sq.m.),Calcutta Jute MillKadapara Bus StopSuktara CinemaSubhash Sarabor Sub Post OfficeVishwa Darshan Tours
Happy Homes V,₹ 28.3 - 30.56 L,2 BHKApartment,(71.07 - 76.74 sq.m.),N/A
Elite 24,₹ 94.13 L - 1.07 Cr,3 BHKApartment,(150.78 - 171.87 sq.m.),N/A
Virat Krishnav,₹ 57.88 L,2 BHKApartment,(118.17 sq.m.),Parag Public SchoolApex UniversityGlobal Heart and general hospital
DND The Savoye,₹ 1.47 - 1.66 Cr,3 BHKApartment,(170.94 - 192.77 sq.m.),N/A
Eklavya,₹ 32 L,1 RKStudio Apartment,(38.89 sq.m.),N/A
Mahima Spring Villa,₹ 86.8 L - 1.3 Cr,3 BHKVilla,(147.62 - 186.86 sq.m.),Bas Bilva SchoolD-Mart
Casa Crown,₹ 1.59 - 1.6 Cr,3 BHKApartment,(201.14 - 202.99 sq.m.),N/A
Kedias The Kothi,₹ 40 L,3 BHKVilla,(83.61 sq.m.),Iron Sight Shooting AcademyCambridge Children SchoolSurajmal Cricket GroundJaipur Riding and Polo ClubSS Departmental Store
Vardhman Kings Court,₹ 54.74 - 55.43 L,2 BHKApartment,(110.55 - 111.95 sq.m.),SNM HospitalSt Thomas SchoolSophia SchoolNational Super MarketSBI Bank
Shri Balaji Heights 1,₹ 43 - 51 L,3 BHKApartment,(105.35 - 121.23 sq.m.),Dominos PizzaPunjab National BankBurger FarmYuvaan Child And General HospitalPetrol Pump
Kedia Sezasthan,₹ 49.5 L,2 BHKApartment,(125.42 sq.m.),Delhi Public SchoolJai Shree PeriwalSt. Xavier's Public SchoolNeerja Modi SchoolManipal University
Unnati Nilay,₹ 17.51 L,1 BHKApartment,(43.2 sq.m.),Fuel StationR.tech MallAnand Van
Natures Homes Amaltas,₹ 91.41 L - 1.04 Cr,3 BHKApartment,(154.4 - 176.05 sq.m.),N/A
Tirupati Nilay,₹ 36.04 - 49.82 L,3 BHKApartment,(126.35 - 174.66 sq.m.),NH 52Vivekanand Public SchoolArogya HospitalJaipur JunctionJaipur International Airport
Unicorn Valley,₹ 77 L,3 BHKVilla,(165.37 sq.m.),"Bas Bilva SchoolJECRC UniversitySitapuraNH 52, Sachivalay Nagar, SitapuraArca Mart"
Platinum Greens,₹ 36.33 - 48.91 L,2 BHKApartment,(88.82 - 119.57 sq.m.),Shree Adinath HospitalRedfox SchoolSanganer Railway StationSparsh HospitalRIICO Industrial Area
Mahimas Shubh Nilay,₹ 29.9 L,2 BHKApartment,(77.39 sq.m.),St Xavier's SchoolAllahabad BankHanuman Mandir
Uttam Casa 10,₹ 1.3 - 1.45 Cr,3 BHKVilla,(222.97 - 248.98 sq.m.),Teoler High SchoolMaharana Pratap RdElements MallMansarover Metro StationNH52
Siddha Happyville,₹ 50 L,3 BHKVilla,(159.79 sq.m.),Gopalpur F.P SchoolCentral Bank of India ATMAxis Bank ATMICICI BankRakesh.M.s
Urbana Jewels,₹ 38 L,2 BHKApartment,(138.12 sq.m.),Kautilya Law College LLBState Bank of India ATMBank of MaharashtraGovernment Industrial Training InstituteShopping Centre
Mahima Sansaar,₹ 32.81 - 40.24 L,2 BHKApartment,(74.35 - 91.17 sq.m.),Sarla Bihari TempleChokhi DhaniHotel Crown PlazaBombay HospitalWorld Trade Park
Consol Raghunandan Heights,₹ 39.51 - 48.51 L,3 BHKApartment,(101.71 - 123.42 sq.m.),Bhaskar Public SchoolCK Birla HospitalsWorld Trade ParkIIS JaipurKanakpura Railway Station
Mudgal Sneh Villa,₹ 76 L,3 BHKVilla,(181.16 sq.m.),N/A
Ashiana Umang,₹ 48.06 L,2 BHKApartment,(74.23 sq.m.),"JK Lakshmipat UniversityMahindra World City, SEZJayshree Periwal International SchoolArya InstituteNH 48, Ramchandpura, Rajasthan"
Ganesham Utsav,₹ 59.57 - 69.46 L,3 BHKApartment,(108.51 - 126.53 sq.m.),N/A
Lifestyle Podium,₹ 4.8 Cr,3 BHKApartment,(198.16 sq.m.),Gopathi Narayanaswami Chetty RoadChalla MallBe Well Hospitals T. NagarMambalam Railway Station Exit IIAG-DMS Metro
ALTA,₹ 33.29 - 33.42 L,2 BHKApartment,(93.74 - 94.11 sq.m.),MahabalipuramKelambakkam JunctionSiruseri IT ParkSSN engineering collegeChettinad Health City Hospital
Intermont One,₹ 2.25 Cr,3 BHKApartment,(130.44 sq.m.),N/A
Pace Anusa,₹ 54.04 L,2 BHKApartment,(109.25 sq.m.),Tambaram Railway stationTambaram Bus StopChennai international airportLords international campusAnnai arul hospital
Navins Hanging Gardens,₹ 1.1 - 1.22 Cr,2 BHKApartment,(92.16 - 107.95 sq.m.),State Highway 113ANN HospitalMeenakshi Academy of Higher EducationFeathers A Radha HotelNexus Vijaya Mall
TVS Emerald Luxor,₹ 2.65 - 3.2 Cr,3 BHKApartment,(109.63 - 125.6 sq.m.),VR ChennaiBe Well Hospitals Anna NagarGrand Northern Trunk RoadThirumangalam Metro StationExcel Global School
Casagrand First City,₹ 33.91 L,1 BHKApartment,(60.02 sq.m.),NPS InternationalGleneagles Global Health CityELCOT IT ParkRajiv Gandhi SalaiNovotel Chennai OMR
Casagrand Cloud9,₹ 90 L,2 BHKApartment,(128.67 sq.m.),Campus K International SchoolSholinganallur Main RoadSwaram Hospital Rajiv Gandhi SalaiECR Beach
Casagrand Flagship,₹ 57 L,2 BHKApartment,(101.08 sq.m.),NPS International SchoolDr.Kamakshi Memorial HospitalsRajiv Gandhi Salai ExpresswayNovotel Chennai OMRFutura Tech Park
Casagrand Southbrooke,Price on Request,1 BHKApartment,(47.66 - 48.31 sq.m.),OMRAarupadai Veedu Matric SchoolKelambakkam junctionHindustan Institute of TechnologyChettinad Super Speciality Hospital
Casagrand Primrose,Price on Request,1 BHKApartment,(63.73 sq.m.),Mother Teresa SchoolAnnai Arul HospitalB. S. Abdur RahmanUrapakkam Railway StationChennai International Airport
Casagrand Elinor,₹ 50 L,2 BHKApartment,(103.03 sq.m.),Karanai Main RoadBVM Global - CBSE SchoolRajiv Gandhi SalaiVivira MallSipcot IT Park
One Land,₹ 46.79 - 98.98 L,Land,(96.62 - 204.39 sq.m.),N/A
PS srijan Nexterra Phase 2,₹ 51.46 - 53.88 L,2 BHKApartment,(78.97 - 82.68 sq.m.),Sai Sankalp Primary SchoolRMT International SchoolJS Global SchoolSathyabama UniversityJeppiaar Engineering College
Casagrand Aria,Price on Request,1 BHKApartment,(48.87 - 49.15 sq.m.),Vandalur Railway StationChennai International AirportAnnai Arul HospitalNarayana E techno SchoolPeri College
CasaGrand Elysium,Price on Request,1 BHKApartment,(61.22 - 78.22 sq.m.),National Highway 32Lalaji Memorial Omega SchoolCrossway Parklane Airport Hotel ChennaiPallavaram Railway StationChennai International Airport
Casagrand Divinity,₹ 1.69 Cr,4 BHKVilla,(235.79 sq.m.),BVM Global - CBSE SchoolFour Points by Sheraton Chennai OMRRajiv Gandhi Salai ExpresswaySathyabama Institute of Science & ITVivira Mall
Casagrand Platinum,₹ 1.07 - 1.21 Cr,3 BHKVilla,(153.94 - 173.73 sq.m.),Tambaram - Mudichur - Walajabad RoadAlwin International Public SchoolPERI College of PharmacyKalyan Grand - a business hotelAnnai Arul Hospital
Navins Hillview Avenue,₹ 41 - 71 L,2 BHKApartment,(56.39 - 109.07 sq.m.),BP Jain HospitalPeace On Green Earth Public SchoolPallavaram FlyoverChrompet Railway StationChennai International Airport
Casagrand Majestica,₹ 82 L - 1.14 Cr,2 BHKApartment,(140.28 - 165.09 sq.m.),SH 55Feathers A Radha HotelDLF Cybercity ChennaiSRM UniversityAlandur Metro Station
Urbanrise Revolution One,₹ 34 L,1 BHKApartment,(48.77 sq.m.),Hindustan Institute of Tech. & ScienceGateway International School (CBSE)Novotel Chennai SipcotThe Marina MallSIPCOT IT Park
Sri Balajis Saphire,₹ 79.45 L - 1.05 Cr,2 BHKApartment,(76.37 - 103.49 sq.m.),Poonamallee High RoadDr. M.G.R. Edu. And Research UniversityRakshith HospitalKoyambedu Metro StationNexus Vijaya Mall
Appaswamy Parkhouse Mews,₹ 2.83 - 3.05 Cr,3 BHKApartment,(175.22 - 188.96 sq.m.),The Westin Chennai VelacheryPhoenix MarketcityMount RoadMadras Gymkhana Golf AnnexeDr. M.G.R. Medical University
Appaswamy Wingfield,₹ 2.02 - 2.22 Cr,,"(Completion in Dec, 2025)",Rajiv Gandhi Salai ExpresswayApollo Multi Speciality HospitalKottivakkam BeachTaramani Railway StationHoliday Inn Chennai
Appaswamy The Broadstone,₹ 1.86 - 2.21 Cr,,"(Completion in Dec, 2025)",Mount Poonamallee RoadDLF Cybercity ChennaiFeathers A Radha HotelMiot HospitalAnand Singapore International School
Sarang by Sumadhura Phase 1,Price on Request,2 BHKApartment,(113.81 sq.m.),Whitefield - Hoskote RoadGreat International SchoolAaxis HospitalsOrion Uptown MallWhitefield (Kadugodi) Metro Station
SM Art,₹ 88.65 - 94.88 L,2 BHKApartment,(109.81 - 117.52 sq.m.),Central MallState Highway 35Belandur Road Railway StationLions Airport City HospitalGJR International School
Folium By Sumadhura Phase 2,₹ 2.15 - 3.37 Cr,3 BHKApartment,(139.82 - 218.79 sq.m.),Kadugodi Tree Park Metro StationManipal Hospital Varthur RoadNexus WhitefieldWhitefield Railway StationGopalan Pre University College
M1 Terra Alegria,₹ 1.79 - 2.16 Cr,4 BHKVilla,(246.19 - 297.75 sq.m.),NH648Sun Valley Public SchoolHoskote Mission HospitalMahadeva Pre University CollegeKR Puram Railway Station
Lodha Mirabelle,₹ 1.49 Cr,2 BHKApartment,(125.42 sq.m.),N/A
Coconut Grove,₹ 41.05 L - 1.08 Cr,Land,(111.48 - 294.97 sq.m.),CS Junior CollegeNew Blossom High SchoolBanashankari HospitalDMartBannerghatta Main Road
Sattva Misty Charm,₹ 35.82 - 53.16 L,1 BHKApartment,(51.19 - 56.3 sq.m.),Holiday Village ResortKSITVajarahalli Metro StationSelenite Sports AcademyDelhi Public School
Sobha Dream Gardens,₹ 60.01 - 68 L,1 BHKApartment,(38.28 - 42.83 sq.m.),Euro SchoolReva InstituteBellahalliKannuruDelhi Public School
Prestige Park Grove,₹ 60.55 - 61.61 L,1 BHKApartment,(38.28 - 39.39 sq.m.),State Highway 35Manipal HospitalKadugodi Railway StationWhitefield (Kadugodi) Metro stationOrion UPTOWN Mall
Sanjeevini Srushti,₹ 52 - 57.56 L,2 BHKApartment,(86.86 - 96.15 sq.m.),Devangonthi Railway StationShwethajali Bharathanaya schoolNH 648SHPL IT ParkSanctum Suites
Assetz Soho and Sky,₹ 1.79 - 2.75 Cr,3 BHKApartment,(122.14 - 187.2 sq.m.),PKS SchoolSH 104Esteem MallManipal Hospital HebbalHebbal railway station
JRC Wild Woods,₹ 1.3 Cr,2 BHKApartment,(140.27 sq.m.),Primus public schoolDmartKarmelram Railway stationDecathlon SarjapurRGA Tech park
Monarch Aqua,₹ 98.61 L - 1.14 Cr,2 BHKApartment,(103.12 - 119.94 sq.m.),Fantasy ParkAmara Jyothi Public SchoolAltor HospitalsJanakiNarayana ComplexFeatherlite Evoma Hotel
Sobha Brooklyn Towers,Price on Request,1 BHKApartment,(26.66 - 27.13 sq.m.),National Highway 48Medhini ArcadeAthreya HospitalJnana Jyoti Public SchoolBommasandra Metro Station
Godrej Ananda,₹ 46 L - 1.38 Cr,2 BHKApartment,(49.24 - 90.39 sq.m.),BK Halli Road (SH 104)St. Francis SchoolFiestaa Resort D Cube Sports ClubN R V Hospital
Goyal Orchid Platinum,₹ 1.86 - 2.33 Cr,3 BHKApartment,(94.46 - 118.48 sq.m.),Gopalan National SchoolHope HospitalGarden City UniversityBrookefield MallBangalore Cant Junction
Prestige Serenity Shores,₹ 1.17 - 1.67 Cr,2 BHKApartment,(61.23 - 87.3 sq.m.),Chrysalis High VarthurKrupanidhi Degree CollegeSahasra HospitalsBrookefield MallBelandur Road railway station
Casagrand Zaiden,₹ 75 - 79 L,2 BHKApartment,(114.27 - 118.08 sq.m.),Kanakpura RoadNICE Ring RoadSilk Institute Metro StationJnana Sweekar Public SchoolRitu Hospital
Sumadhura Sushantham Phase 2,₹ 94.33 L - 1.19 Cr,2 BHKApartment,(113.81 - 144.0 sq.m.),Manyata Tech ParkKirloskar Business ParkEsteem MallRMZ Galleria MallColumbia Asia Hospital
Avani Abode,₹ 2.11 - 4.21 Cr,4 BHKVilla,(230.21 - 459.41 sq.m.),East Point HospitalOrion Uptown MallGarden City UniversityBNR Memorial SchoolITPL Metro Station
Sobha Town Park Manhattan Towers,₹ 74.02 - 75.61 L,2 BHKApartment,(47.47 - 48.5 sq.m.),N/A
Siddartha Solitaire,₹ 65 - 68.79 L,2 BHKApartment,(103.59 - 109.63 sq.m.),Hosa Road Metro StationPES UniversityFab Hypermart SingasandraMedwell Multi-specialty HospitalThe Paradise PU College
Concorde Hill Crest,₹ 35 - 58.87 L,Land,(111.48 - 187.48 sq.m.),NH 44GHS RG Halli High SchoolAmbareshwar Degree College
Nava Gokulam,₹ 71.84 - 83.98 L,2 BHKApartment,(74.69 - 87.05 sq.m.),NH 44Elements MallHilton Garden InnAltius Multispeciality HospitalsDeva Matha Central School
Abhignas Misty Woods,₹ 2.14 - 2.4 Cr,3 BHKApartment,(192.59 - 216.65 sq.m.),"JP Nagar Metro StationFrank Public SchoolEurokids, JP NagarAster RV HospitalVega City Mall"
